text,text_clean,label,label_name
Los de la U también son del Orto Equipo 😘,Los de la U también son del Orto Equipo 😘,0,negative
"Maravilloso Restaurant, ubicado en  Cayma😊 Chicha de Jora 👍🏻 Rocoto relleno, costillar, adobo, etc ","Maravilloso Restaurant, ubicado en Cayma😊 Chicha de Jora 👍🏻 Rocoto relleno, costillar, adobo, etc",2,positive
LA 🐩 POSSERA DE Umi Hyu  nola pes 🐁,LA 🐩 POSSERA DE Umi Hyu nola pes 🐁,0,negative
Jennifer no me contaste que grabaste un video cuando eras rubia 😂😂,Jennifer no me contaste que grabaste un video cuando eras rubia 😂😂,1,neutral
Bravisimo gaston esa ocopa será un manjarrr uhmmm😋😋al Batán aló natural con unas papas huamantangas qe riko!!!! 🇵🇪🇵🇪,Bravisimo gaston esa ocopa será un manjarrr uhmmm😋😋al Batán aló natural con unas papas huamantangas qe riko!!!! 🇵🇪🇵🇪,2,positive
Osores lanza las antifijas de las apuestas😂😂😂,Osores lanza las antifijas de las apuestas😂😂😂,0,negative
Este tMbien se pasa con todos los gobiernos de turno cuantas veces habra negociado por debAjo es la muerte este viejo y su staf de abogaduchos.............arriba asangaro y arriba el cesar ballejo arriba el peru jekekek👍👍😱😱🤪🤪🤬🤬☠☠🦷🦷,Este tMbien se pasa con todos los gobiernos de turno cuantas veces habra negociado por debAjo es la muerte este viejo y su staf de abogaduchos.............arriba asangaro y arriba el cesar ballejo arriba el peru jekekek👍👍😱😱🤪🤪🤬🤬☠☠🦷🦷,0,negative
"Pero si eses tipo no canta brama que es diferente que horror de persona por favor por favor no lo hagas jamás pero jamas vuelvas a intentar disque cantar contaminas al mundo es,delito escucharte 😡😡😡😡","Pero si eses tipo no canta brama que es diferente que horror de persona por favor por favor no lo hagas jamás pero jamas vuelvas a intentar disque cantar contaminas al mundo es,delito escucharte 😡😡😡😡",0,negative
Que cancion chevere. Chicas uds siempre dando buenas sorpresas con su contenido. We love you. 🤗,Que cancion chevere. Chicas uds siempre dando buenas sorpresas con su contenido. We love you. 🤗,2,positive
Hola Chupetin oficial se Te Quiere Demasiado ♥️ Saludos ♥️,Hola Chupetin oficial se Te Quiere Demasiado ♥️ Saludos ♥️,2,positive
