text,label,label_name,split
"Salió para Aser farándula ese chato, solo quiere llamar la atención 😂 q trabaje bago , aragán",0,negative,train
Si así eres tu también!!! ... Cuando llegaste a Cancun al hotel donde trabajaba.. Y la netta casi todos son bien mamones.. Y otros mamones y piojos jajaj pero bueno en sus videos son otra cosa👎🏻,0,negative,train
Nunca se tiene pocos zapatos... 🤣 🤣 🤣 🤣 Tengo algunos tacones y botas que aun no los e usado y sigo comprando mas.,1,neutral,train
Queen Reigne te 😂😂😂 sorry na,1,neutral,train
En media hora comienza el toque de queda dijo,1,neutral,train
Ahuevo ahora le podré gustar a mi amiga Otaku 😎👍,2,positive,train
en él norte dicen si vas a trujillo y no fuiste a huanchaco a que fuiste a trujillo ....😁 aplicara  para la nueva Palomino?? 😏,1,neutral,train
"Los KONGRESISTAS del FUJIMONTESINISMO son los Menos indicado de  hablar de Corrupción.. Es normal que los KONGRESISTA Asusan  a la población como lo hace la Moyano la BARBARAN , Yarrow, Montoya , Cueto ,Nano Guerra, el mismo  CHIABRA etc etc. Ya ps tan ingenuo no somos. YEGO el DESPERTAR de las CONCIENCIAS. ✨🧠✨",1,neutral,train
🤣🤣🤣🤣   Manolo yo tambien estoy chihuan..,1,neutral,train
Kevin seria bueno que cumplan estas reglas 😅😆,1,neutral,train
Trankilo con tu ayayaiiiiiiii patentaloooo o juegamelo para vender mis mangossss tacneñosssss 🤠👏👏👏👏,2,positive,train
"Buen video, tengo un amigo Chileno que conocí en un ex trabajo y es muy buena onda el muchacho!! 😁😁 Perú y Chile países hermanos y lo que quedó en el pasado, queda en el pasado 😅",2,positive,train
